05midity: 43.40, Temp: 23.30, Lux: 1169.05
Humidity: 43.40, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1169.05Humidity: 43.50, Temp: 23.30, Lux: 1140.70
Humidity: 43.40, Temp: 23.30, Lux: 1113.64
Humidity: 43.40, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1169.05
Humidity: 43.50, Temp: 23.30, Lux: 1169.05
Humidity: 43.50, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1140.70
Humidity: 43.50, Temp: 23.30, Lux: 1113.64
Humidity: 43.50, Temp: 23.30, Lux: 1113.64
Humidity: 43.40, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.30, Lux: 1087.78
Humidity: 43.50, Temp: 23.30, Lux: 1063.04
Humidity: 43.50, Temp: 23.30, Lux: 1087.78
Humidity: 43.40, Temp: 23.20, Lux: 1063.04
Humidity: 43.40, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.30, Lux: 1039.36
Humidity: 43.50, Temp: 23.30, Lux: 1039.36
Humidity: 43.40, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.20, Lux: 1063.04
Humidity: 43.40, Temp: 23.20, Lux: 1063.04
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.40, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1140.70
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1063.04
Humidity: 43.50, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.20, Lux: 1016.67
Humidity: 43.50, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.20, Lux: 1016.67
Humidity: 43.50, Temp: 23.20, Lux: 1039.36
Humidity: 43.50, Temp: 23.20, Lux: 1063.04
Humidity: 43.50, Temp: 23.20, Lux: 1063.04
Humidity: 43.50, Temp: 23.20, Lux: 1063.04
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1087.78
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.50, Temp: 23.20, Lux: 1140.70
Humidity: 43.50, Temp: 23.20, Lux: 1113.64
Humidity: 43.60, Temp: 23.20, Lux: 1113.64
Humidity: 43.60, Temp: 23.20, Lux: 1113.64
Humidity: 43.60, Temp: 23.20, Lux: 1063.04
Humidity: 43.60, Temp: 23.20, Lux: 1063.04
Humidity: 43.60, Temp: 23.10, Lux: 1039.36
Humidity: 43.60, Temp: 23.10, Lux: 1039.36
Humidity: 43.60, Temp: 23.20, Lux: 1016.67
Humidity: 43.60, Temp: 23.10, Lux: 1039.36
Humidity: 43.60, Temp: 23.10, Lux: 1039.36
Humidity: 43.60, Temp: 23.20, Lux: 1039.36
