.Humidity: 44.60, Temp: 23.00, Lux: 1016.67
Humidity: 44.60, Temp: 23.00, Lux: 1016.67
Humidity: 44.40, Temp: 22.90, Lux: 1016.67
Humidity: 44.40, Temp: 22.90, Lux: 1039.36
Humidity: 44.40, Temp: 22.90, Lux: 1039.36
Humidity: 44.30, Temp: 22.90, Lux: 1039.36
Humidity: 44.40, Temp: 22.80, Lux: 1039.36
Humidity: 44.50, Temp: 22.80, Lux: 1039.36
Humidity: 44.50, Temp: 22.70, Lux: 1039.36
Humidity: 44.50, Temp: 22.70, Lux: 1039.36
Humidity: 44.60, Temp: 22.70, Lux: 1039.36
Humidity: 44.60, Temp: 22.70, Lux: 1039.36
Humidity: 44.60, Temp: 22.70, Lux: 1039.36
Humidity: 44.70, Temp: 22.70, Lux: 1063.04
Humidity: 44.70, Temp: 22.70, Lux: 1063.04
Humidity: 44.70, Temp: 22.70, Lux: 1087.78
Humidity: 44.50, Temp: 22.60, Lux: 1087.78
Humidity: 44.60, Temp: 22.60, Lux: 1113.64
Humidity: 44.50, Temp: 22.60, Lux: 1140.70
Humidity: 44.50, Temp: 22.60, Lux: 1113.64
Humidity: 44.50, Temp: 22.50, Lux: 1140.70
Humidity: 44.60, Temp: 22.50, Lux: 1113.64
Humidity: 44.60, Temp: 22.50, Lux: 1113.64
Humidity: 44.70, Temp: 22.40, Lux: 1140.70
Humidity: 44.70, Temp: 22.40, Lux: 1087.78
Humidity: 44.80, Temp: 22.40, Lux: 1113.64
Humidity: 44.90, Temp: 22.40, Lux: 1113.64
Humidity: 45.00, Temp: 22.40, Lux: 1113.64
Humidity: 45.10, Temp: 22.40, Lux: 1113.64
Humidity: 45.10, Temp: 22.40, Lux: 1113.64
Humidity: 45.20, Temp: 22.40, Lux: 1113.64
Humidity: 45.20, Temp: 22.40, Lux: 1087.78
Humidity: 45.20, Temp: 22.40, Lux: 1087.78
Humidity: 45.20, Temp: 22.40, Lux: 1063.04
Humidity: 45.20, Temp: 22.40, Lux: 1063.04
Humidity: 45.20, Temp: 22.40, Lux: 1039.36
Humidity: 45.10, Temp: 22.30, Lux: 1039.36
Humidity: 45.10, Temp: 22.30, Lux: 1016.67
Humidity: 45.10, Temp: 22.20, Lux: 1016.67
Humidity: 45.30, Temp: 22.20, Lux: 1039.36
Humidity: 45.40, Temp: 22.20, Lux: 1039.36
Humidity: 45.40, Temp: 22.20, Lux: 1063.04
Humidity: 45.50, Temp: 22.20, Lux: 1087.78
Humidity: 45.50, Temp: 22.20, Lux: 1087.78
Humidity: 45.60, Temp: 22.20, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1140.70
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.10, Lux: 1113.64
Humidity: 45.60, Temp: 22.00, Lux: 1113.64
Humidity: 45.60, Temp: 22.00, Lux: 1113.64
Humidity: 45.70, Temp: 22.00, Lux: 1113.64
Humidity: 45.80, Temp: 22.00, Lux: 1113.64
Humidity: 45.90, Temp: 22.00, Lux: 1113.64
Humidity: 46.00, Temp: 21.90, Lux: 1113.64
Humidity: 46.00, Temp: 21.90, Lux: 1113.64
Humidity: 46.20, Temp: 22.00, Lux: 1087.78
