uHumidity: 60.90, Temp: 27.30, Lux: 737.69
Humidity: 60.60, Temp: 27.30, Lux: 737.69
Humidity: 60.50, Temp: 27.30, Lux: 762.70
Humidity: 60.40, Temp: 27.30, Lux: 762.70
Humidity: 60.30, Temp: 27.30, Lux: 762.70
Humidity: 60.30, Temp: 27.30, Lux: 725.76
Humidity: 60.20, Temp: 27.30, Lux: 702.94
Humidity: 60.10, Temp: 27.30, Lux: 681.43
Humidity: 60.10, Temp: 27.30, Lux: 671.13
Humidity: 60.10, Temp: 27.30, Lux: 681.43
Humidity: 60.10, Temp: 27.30, Lux: 692.03
Humidity: 60.00, Temp: 27.30, Lux: 702.94
Humidity: 60.00, Temp: 27.30, Lux: 714.18
Humidity: 60.00, Temp: 27.30, Lux: 725.76
Humidity: 60.00, Temp: 27.30, Lux: 737.69
Humidity: 60.00, Temp: 27.30, Lux: 750.00
Humidity: 59.90, Temp: 27.30, Lux: 750.00
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 775.81
Humidity: 59.90, Temp: 27.30, Lux: 775.81
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.90, Temp: 27.30, Lux: 775.81
Humidity: 59.90, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 750.00
Humidity: 59.80, Temp: 27.30, Lux: 737.69
Humidity: 59.80, Temp: 27.30, Lux: 714.18
Humidity: 59.80, Temp: 27.30, Lux: 692.03
Humidity: 59.80, Temp: 27.30, Lux: 681.43
Humidity: 59.80, Temp: 27.30, Lux: 681.43
Humidity: 59.80, Temp: 27.30, Lux: 681.43
Humidity: 59.80, Temp: 27.30, Lux: 714.18
Humidity: 59.80, Temp: 27.30, Lux: 725.76
Humidity: 59.80, Temp: 27.30, Lux: 737.69
Humidity: 59.80, Temp: 27.30, Lux: 750.00
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 775.81
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 762.70
Humidity: 59.80, Temp: 27.30, Lux: 750.00
Humidity: 59.80, Temp: 27.30, Lux: 725.76
Humidity: 59.80, Temp: 27.30, Lux: 714.18
Humidity: 59.80, Temp: 27.30, Lux: 702.94
Humidity: 59.70, Temp: 27.30, Lux: 692.03
Humidity: 59.70, Temp: 27.30, Lux: 692.03
Humidity: 59.80, Temp: 27.30, Lux: 681.43
Humidity: 59.80, Temp: 27.40, Lux: 681.43
Humidity: 59.70, Temp: 27.30, Lux: 681.43
Humidity: 59.70, Temp: 27.30, Lux: 692.03
