Humidity: 60.90, Temp: 27.10, Lux: 272.01
Humidity: 60.80, Temp: 27.10, Lux: 272.01
Humidity: 60.70, Temp: 27.20, Lux: 272.01
Humidity: 60.40, Temp: 27.10, Lux: 276.11
Humidity: 60.30, Temp: 27.10, Lux: 274.05
Humidity: 60.10, Temp: 27.10, Lux: 272.01
Humidity: 60.00, Temp: 27.10, Lux: 270.00
Humidity: 60.00, Temp: 27.10, Lux: 270.00
Humidity: 59.90, Temp: 27.10, Lux: 270.00
Humidity: 59.90, Temp: 27.10, Lux: 268.01
Humidity: 59.90, Temp: 27.10, Lux: 266.05
Humidity: 59.90, Temp: 27.10, Lux: 266.05
Humidity: 59.80, Temp: 27.10, Lux: 270.00
Humidity: 59.80, Temp: 27.10, Lux: 272.01
Humidity: 59.80, Temp: 27.10, Lux: 272.01
Humidity: 59.80, Temp: 27.10, Lux: 270.00
Humidity: 59.70, Temp: 27.10, Lux: 268.01
Humidity: 59.70, Temp: 27.10, Lux: 270.00
Humidity: 59.70, Temp: 27.10, Lux: 270.00
Humidity: 59.60, Temp: 27.10, Lux: 272.01
Humidity: 59.60, Temp: 27.10, Lux: 266.05
Humidity: 59.60, Temp: 27.10, Lux: 264.11
Humidity: 59.60, Temp: 27.10, Lux: 262.20
Humidity: 59.60, Temp: 27.10, Lux: 264.11
Humidity: 59.60, Temp: 27.10, Lux: 262.20
Humidity: 59.60, Temp: 27.10, Lux: 258.43
Humidity: 59.60, Temp: 27.10, Lux: 252.96
Humidity: 59.60, Temp: 27.10, Lux: 251.18
Humidity: 59.60, Temp: 27.10, Lux: 251.18
Humidity: 59.50, Temp: 27.10, Lux: 251.18
Humidity: 59.60, Temp: 27.10, Lux: 245.95
Humidity: 59.50, Temp: 27.10, Lux: 244.25
Humidity: 59.50, Temp: 27.10, Lux: 247.67
Humidity: 59.50, Temp: 27.10, Lux: 249.42
Humidity: 59.50, Temp: 27.10, Lux: 251.18
Humidity: 59.50, Temp: 27.10, Lux: 254.76
Humidity: 59.50, Temp: 27.10, Lux: 262.20
Humidity: 59.50, Temp: 27.10, Lux: 266.05
Humidity: 59.50, Temp: 27.10, Lux: 270.00
Humidity: 59.50, Temp: 27.10, Lux: 272.01
Humidity: 59.50, Temp: 27.10, Lux: 274.05
Humidity: 59.50, Temp: 27.10, Lux: 270.00
Humidity: 59.50, Temp: 27.10, Lux: 266.05
Humidity: 59.40, Temp: 27.10, Lux: 260.30
Humidity: 59.50, Temp: 27.10, Lux: 258.43
Humidity: 59.50, Temp: 27.10, Lux: 256.59
Humidity: 59.50, Temp: 27.10, Lux: 251.18
Humidity: 59.50, Temp: 27.10, Lux: 247.67
Humidity: 59.50, Temp: 27.10, Lux: 247.67
Humidity: 59.50, Temp: 27.10, Lux: 249.42
Humidity: 59.60, Temp: 27.10, Lux: 251.18
Humidity: 59.60, Temp: 27.10, Lux: 256.59
Humidity: 59.60, Temp: 27.10, Lux: 268.01
Humidity: 59.60, Temp: 27.10, Lux: 274.05
Humidity: 59.60, Temp: 27.10, Lux: 270.00
Humidity: 59.70, Temp: 27.10, Lux: 266.05
Humidity: 59.70, Temp: 27.10, Lux: 254.76
Humidity: 59.70, Temp: 27.10, Lux: 247.67
Humidity: 59.70, Temp: 27.10, Lux: 251.18
Humidity: 59.70, Temp: 27.10, Lux: 260.30
