.Humidity: 55.70, Temp: 26.00, Lux: 107.06
Humidity: 55.60, Temp: 26.00, Lux: 110.50
Humidity: 55.50, Temp: 26.00, Lux: 111.01
Humidity: 55.40, Temp: 26.00, Lux: 111.51
Humidity: 55.20, Temp: 26.00, Lux: 115.16
Humidity: 55.00, Temp: 26.00, Lux: 117.32
Humidity: 54.80, Temp: 26.00, Lux: 120.10
Humidity: 54.70, Temp: 26.00, Lux: 113.06
Humidity: 54.60, Temp: 26.00, Lux: 115.16
Humidity: 54.40, Temp: 25.90, Lux: 113.58
Humidity: 54.30, Temp: 26.00, Lux: 113.58
Humidity: 54.20, Temp: 26.00, Lux: 124.74
Humidity: 54.20, Temp: 26.00, Lux: 124.74
Humidity: 54.10, Temp: 26.00, Lux: 124.15
Humidity: 54.00, Temp: 26.00, Lux: 120.67
Humidity: 54.00, Temp: 26.00, Lux: 120.10
Humidity: 53.90, Temp: 26.00, Lux: 120.10
Humidity: 53.90, Temp: 26.00, Lux: 126.55
Humidity: 53.90, Temp: 26.00, Lux: 132.21
Humidity: 53.90, Temp: 26.00, Lux: 132.21
Humidity: 53.90, Temp: 26.00, Lux: 132.21
Humidity: 53.90, Temp: 26.00, Lux: 132.86
Humidity: 53.80, Temp: 26.00, Lux: 132.86
Humidity: 53.80, Temp: 26.00, Lux: 132.86
Humidity: 53.80, Temp: 26.00, Lux: 132.21
Humidity: 53.70, Temp: 26.00, Lux: 131.56
Humidity: 53.70, Temp: 26.00, Lux: 132.21
Humidity: 53.70, Temp: 26.00, Lux: 132.86
Humidity: 53.60, Temp: 26.00, Lux: 134.17
Humidity: 53.60, Temp: 26.00, Lux: 134.17
Humidity: 53.70, Temp: 26.00, Lux: 133.51
Humidity: 53.70, Temp: 26.00, Lux: 133.51
Humidity: 53.70, Temp: 26.00, Lux: 134.84
Humidity: 53.60, Temp: 25.90, Lux: 135.51
Humidity: 53.70, Temp: 26.00, Lux: 134.84
Humidity: 53.70, Temp: 26.00, Lux: 135.51
Humidity: 53.70, Temp: 26.00, Lux: 134.84
Humidity: 53.70, Temp: 26.00, Lux: 133.51
Humidity: 53.60, Temp: 26.00, Lux: 130.28
Humidity: 53.60, Temp: 26.00, Lux: 128.40
Humidity: 53.60, Temp: 26.00, Lux: 127.16
Humidity: 53.60, Temp: 26.00, Lux: 126.55
Humidity: 53.60, Temp: 26.00, Lux: 125.95
Humidity: 53.60, Temp: 26.00, Lux: 124.74
Humidity: 53.60, Temp: 26.00, Lux: 125.34
Humidity: 53.60, Temp: 26.00, Lux: 125.95
Humidity: 53.60, Temp: 26.00, Lux: 125.95
Humidity: 53.60, Temp: 26.00, Lux: 126.55
Humidity: 53.70, Temp: 26.00, Lux: 127.16
Humidity: 53.80, Temp: 26.00, Lux: 128.40
Humidity: 53.80, Temp: 26.00, Lux: 130.28
Humidity: 53.90, Temp: 26.00, Lux: 130.92
Humidity: 53.90, Temp: 25.90, Lux: 131.56
Humidity: 53.90, Temp: 25.90, Lux: 132.21
Humidity: 54.00, Temp: 26.00, Lux: 133.51
Humidity: 54.10, Temp: 26.00, Lux: 134.84
Humidity: 54.10, Temp: 26.00, Lux: 135.51
Humidity: 54.20, Temp: 26.00, Lux: 135.51
Humidity: 54.20, Temp: 26.00, Lux: 135.51
Humidity: 54.20, Temp: 26.00, Lux: 135.51
