2
Humidity: 50.90, Temp: 20.80, Lux: 916.04
umidity: 50.90, Temp: 20.80, Lux: 916.04
Humidity: 50.90, Temp: 20.80, Lux: 934.62
Humidity: 50.90, Temp: 20.80, Lux: 916.04
Humidity: 0.00, Temp: 0.00, Lux: 898.15
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 898.15
Humidity: 0.00, Temp: 0.00, Lux: 934.62
Humidity: 0.00, Temp: 0.00, Lux: 934.62
Humidity: 0.00, Temp: 0.00, Lux: 880.91
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 916.04
Humidity: 0.00, Temp: 0.00, Lux: 953.92
Humidity: 0.00, Temp: 0.00, Lux: 916.04
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 880.91
Humidity: 0.00, Temp: 0.00, Lux: 916.04
Humidity: 0.00, Temp: 0.00, Lux: 953.92
Humidity: 0.00, Temp: 0.00, Lux: 898.15
Humidity: 0.00, Temp: 0.00, Lux: 848.25
Humidity: 0.00, Temp: 0.00, Lux: 880.91
Humidity: 0.00, Temp: 0.00, Lux: 916.04
Humidity: 0.00, Temp: 0.00, Lux: 934.62
Humidity: 0.00, Temp: 0.00, Lux: 934.62
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 898.15
Humidity: 0.00, Temp: 0.00, Lux: 934.62
Humidity: 0.00, Temp: 0.00, Lux: 953.92
Humidity: 0.00, Temp: 0.00, Lux: 880.91
Humidity: 0.00, Temp: 0.00, Lux: 864.29
Humidity: 0.00, Temp: 0.00, Lux: 898.15
