
midity: 43.30, Temp: 22.00, Lux: 974.00
Humidity: 43.30, Temp: 22.00, Lux: 994.90
Humidity: 43.20, Temp: 22.00, Lux: 1016.67
Humidity: 43.20, Temp: 22.00, Lux: 953.92
Humidity: 43.10, Temp: 21.90, Lux: 934.62
Humidity: 43.10, Temp: 21.90, Lux: 934.62
Humidity: 43.10, Temp: 21.90, Lux: 934.62
Humidity: 43.10, Temp: 21.90, Lux: 974.00
Humidity: 43.20, Temp: 21.90, Lux: 994.90
Humidity: 43.20, Temp: 21.90, Lux: 994.90
Humidity: 43.20, Temp: 21.80, Lux: 1016.67
Humidity: 43.20, Temp: 21.80, Lux: 1016.67
Humidity: 43.20, Temp: 21.80, Lux: 994.90
Humidity: 43.20, Temp: 21.80, Lux: 974.00
Humidity: 43.20, Temp: 21.80, Lux: 953.92
Humidity: 43.20, Temp: 21.80, Lux: 916.04
Humidity: 43.10, Temp: 21.80, Lux: 916.04
Humidity: 43.10, Temp: 21.80, Lux: 934.62
Humidity: 43.10, Temp: 21.70, Lux: 974.00
Humidity: 43.10, Temp: 21.70, Lux: 994.90
Humidity: 43.20, Temp: 21.70, Lux: 994.90
Humidity: 43.20, Temp: 21.70, Lux: 994.90
Humidity: 43.20, Temp: 21.70, Lux: 974.00
Humidity: 43.20, Temp: 21.60, Lux: 953.92
Humidity: 43.30, Temp: 21.70, Lux: 934.62
Humidity: 43.30, Temp: 21.60, Lux: 916.04
Humidity: 43.30, Temp: 21.60, Lux: 934.62
Humidity: 43.40, Temp: 21.70, Lux: 953.92
Humidity: 43.40, Temp: 21.60, Lux: 974.00
Humidity: 43.40, Temp: 21.60, Lux: 994.90
Humidity: 43.40, Temp: 21.60, Lux: 1016.67
Humidity: 43.40, Temp: 21.60, Lux: 994.90
Humidity: 43.40, Temp: 21.60, Lux: 994.90
Humidity: 43.40, Temp: 21.60, Lux: 994.90
Humidity: 43.40, Temp: 21.60, Lux: 974.00
Humidity: 43.40, Temp: 21.50, Lux: 953.92
Humidity: 43.40, Temp: 21.50, Lux: 953.92
Humidity: 43.50, Temp: 21.50, Lux: 934.62
Humidity: 43.50, Temp: 21.50, Lux: 934.62
Humidity: 43.50, Temp: 21.50, Lux: 934.62
Humidity: 43.60, Temp: 21.50, Lux: 898.15
Humidity: 43.60, Temp: 21.50, Lux: 916.04
Humidity: 43.70, Temp: 21.50, Lux: 916.04
Humidity: 43.70, Temp: 21.50, Lux: 934.62
Humidity: 43.70, Temp: 21.50, Lux: 953.92
Humidity: 43.70, Temp: 21.40, Lux: 974.00
Humidity: 43.70, Temp: 21.40, Lux: 994.90
Humidity: 43.70, Temp: 21.40, Lux: 994.90
Humidity: 43.70, Temp: 21.40, Lux: 994.90
Humidity: 43.80, Temp: 21.40, Lux: 994.90
Humidity: 43.80, Temp: 21.40, Lux: 994.90
Humidity: 43.80, Temp: 21.30, Lux: 974.00
Humidity: 43.80, Temp: 21.30, Lux: 953.92
Humidity: 43.90, Temp: 21.30, Lux: 934.62
Humidity: 43.90, Temp: 21.30, Lux: 916.04
Humidity: 44.00, Temp: 21.30, Lux: 916.04
Humidity: 44.00, Temp: 21.30, Lux: 934.62
Humidity: 44.10, Temp: 21.30, Lux: 953.92
Humidity: 44.10, Temp: 21.30, Lux: 953.92
