
Humidity: 43.20, Temp: 22.60, Lux: 1039.36
Humidity: 43.20, Temp: 22.60, Lux: 1063.04
idity: 43.20, Temp: 22.60, Lux: 518.89
Humidity: 43.20, Temp: 22.60, Lux: 1039.36
Humidity: 43.20, Temp: 22.60, Lux: 1063.04
Humidity: 43.20, Temp: 22.60, Lux: 953.92
Humidity: 43.20, Temp: 22.60, Lux: 974.00
Humidity: 43.10, Temp: 22.60, Lux: 974.00
Humidity: 43.10, Temp: 22.60, Lux: 953.92
Humidity: 43.00, Temp: 22.60, Lux: 953.92
Humidity: 43.00, Temp: 22.60, Lux: 953.92
Humidity: 43.00, Temp: 22.60, Lux: 974.00
Humidity: 42.90, Temp: 22.60, Lux: 974.00
Humidity: 42.90, Temp: 22.60, Lux: 974.00
Humidity: 42.90, Temp: 22.60, Lux: 974.00
Humidity: 42.90, Temp: 22.60, Lux: 953.92
Humidity: 42.90, Temp: 22.60, Lux: 953.92
Humidity: 42.90, Temp: 22.60, Lux: 953.92
Humidity: 42.90, Temp: 22.60, Lux: 953.92
Humidity: 42.80, Temp: 22.60, Lux: 974.00
Humidity: 42.80, Temp: 22.60, Lux: 974.00
Humidity: 42.80, Temp: 22.60, Lux: 974.00
Humidity: 42.80, Temp: 22.60, Lux: 974.00
Humidity: 42.80, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 953.92
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 974.00
Humidity: 42.70, Temp: 22.60, Lux: 953.92
Humidity: 42.70, Temp: 22.60, Lux: 953.92
Humidity: 42.70, Temp: 22.60, Lux: 953.92
Humidity: 42.60, Temp: 22.60, Lux: 953.92
Humidity: 42.60, Temp: 22.60, Lux: 953.92
Humidity: 42.60, Temp: 22.60, Lux: 953.92
Humidity: 42.60, Temp: 22.60, Lux: 953.92
Humidity: 42.60, Temp: 22.60, Lux: 974.00
Humidity: 42.60, Temp: 22.60, Lux: 974.00
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 994.90
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1039.36
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1016.67
Humidity: 42.60, Temp: 22.60, Lux: 1039.36
Humidity: 42.60, Temp: 22.60, Lux: 1039.36
Humidity: 42.60, Temp: 22.60, Lux: 1039.36
