78
dity: 49.60, Temp: 21.10, Lux: 1087.78
Humidity: 49.60, Temp: 21.10, Lux: 1016.67
Humidity: 49.60, Temp: 21.10, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1016.67
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1016.67
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1016.67
Humidity: 0.00, Temp: 0.00, Lux: 1063.04
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1016.67
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1063.04
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1140.70
Humidity: 0.00, Temp: 0.00, Lux: 1063.04
Humidity: 0.00, Temp: 0.00, Lux: 994.90
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1039.36
Humidity: 0.00, Temp: 0.00, Lux: 1113.64
Humidity: 0.00, Temp: 0.00, Lux: 1087.78
Humidity: 0.00, Temp: 0.00, Lux: 1016.67
